Area;Year;GDP per capita - with interpolations;Type of data;Data period;Longer description;Growth linked to which year;If use region or neighbor - what is used;Source ;Source notes;Other notes;Adjustments of data;Regional average multiplied with spread-ot factor;Other footnotes;Other footnotes;Other footnotes
Abkhazia;2005;;No data;2005;;;;No data;;;;;;;
Abkhazia;2006;;;;;;;;;;;;;;
Abkhazia;2007;;;;;;;;;;;;;;
Abkhazia;2008;;;;;;;;;;;;;;
Abkhazia;2009;;;;;;;;;;;;;;
Abkhazia;2010;;;;;;;;;;;;;;
Abkhazia;2011;;;;;;;;;;;;;;
Abkhazia;2012;;;;;;;;;;;;;;
Abkhazia;2013;;;;;;;;;;;;;;
Abkhazia;2014;;;;;;;;;;;;;;
Abkhazia;2015;;;;;;;;;;;;;;
Abkhazia;2016;;;;;;;;;;;;;;
Abkhazia;2017;;;;;;;;;;;;;;
Abkhazia;2018;;;;;;;;;;;;;;
Afghanistan;1800;472;Extrapolated.;1800;;;;Extrapolation - we use the value for 1820.;;;;;;;
Afghanistan;1801;472;Interpolated.;;;;;;;;;;;;
Afghanistan;1802;472;Interpolated.;;;;;;;;;;;;
Afghanistan;1803;472;Interpolated.;;;;;;;;;;;;
Afghanistan;1804;472;Interpolated.;;;;;;;;;;;;
Afghanistan;1805;472;Interpolated.;;;;;;;;;;;;
Afghanistan;1806;472;Interpolated.;;;;;;;;;;;;
Afghanistan;1807;472;Interpolated.;;;;;;;;;;;;
Afghanistan;1808;472;Interpolated.;;;;;;;;;;;;
Afghanistan;1809;472;Interpolated.;;;;;;;;;;;;
Afghanistan;1810;472;Interpolated.;;;;;;;;;;;;
Afghanistan;1811;472;Interpolated.;;;;;;;;;;;;
Afghanistan;1812;472;Interpolated.;;;;;;;;;;;;
Afghanistan;1813;472;Interpolated.;;;;;;;;;;;;
Afghanistan;1814;472;Interpolated.;;;;;;;;;;;;
Afghanistan;1815;472;Interpolated.;;;;;;;;;;;;
Afghanistan;1816;472;Interpolated.;;;;;;;;;;;;
Afghanistan;1817;472;Interpolated.;;;;;;;;;;;;
Afghanistan;1818;472;Interpolated.;;;;;;;;;;;;
Afghanistan;1819;472;Interpolated.;;;;;;;;;;;;
Afghanistan;1820;472;Level from regional average, multiplied with spread-out factor.;1820;;;"""29 East Asian countries""";Maddison on-line.;;;Gapminder model 2 (based on the GDP per capita of Maddison). ;Spread-out factor: 0,7;Spread-out factor based on: Purely random.;;
Afghanistan;1821;474;Interpolated.;;;;;;;;;;;;
Afghanistan;1822;475;Interpolated.;;;;;;;;;;;;
Afghanistan;1823;477;Interpolated.;;;;;;;;;;;;
Afghanistan;1824;478;Interpolated.;;;;;;;;;;;;
Afghanistan;1825;480;Interpolated.;;;;;;;;;;;;
Afghanistan;1826;481;Interpolated.;;;;;;;;;;;;
Afghanistan;1827;483;Interpolated.;;;;;;;;;;;;
Afghanistan;1828;484;Interpolated.;;;;;;;;;;;;
Afghanistan;1829;486;Interpolated.;;;;;;;;;;;;
Afghanistan;1830;488;Interpolated.;;;;;;;;;;;;
Afghanistan;1831;489;Interpolated.;;;;;;;;;;;;
Afghanistan;1832;491;Interpolated.;;;;;;;;;;;;
Afghanistan;1833;492;Interpolated.;;;;;;;;;;;;
Afghanistan;1834;494;Interpolated.;;;;;;;;;;;;
Afghanistan;1835;496;Interpolated.;;;;;;;;;;;;
Afghanistan;1836;497;Interpolated.;;;;;;;;;;;;
Afghanistan;1837;499;Interpolated.;;;;;;;;;;;;
Afghanistan;1838;500;Interpolated.;;;;;;;;;;;;
Afghanistan;1839;502;Interpolated.;;;;;;;;;;;;
Afghanistan;1840;504;Interpolated.;;;;;;;;;;;;
Afghanistan;1841;505;Interpolated.;;;;;;;;;;;;
Afghanistan;1842;507;Interpolated.;;;;;;;;;;;;
Afghanistan;1843;509;Interpolated.;;;;;;;;;;;;
Afghanistan;1844;510;Interpolated.;;;;;;;;;;;;
Afghanistan;1845;512;Interpolated.;;;;;;;;;;;;
Afghanistan;1846;514;Interpolated.;;;;;;;;;;;;
Afghanistan;1847;515;Interpolated.;;;;;;;;;;;;
Afghanistan;1848;517;Interpolated.;;;;;;;;;;;;
Afghanistan;1849;519;Interpolated.;;;;;;;;;;;;
Afghanistan;1850;520;Interpolated.;;;;;;;;;;;;
Afghanistan;1851;522;Interpolated.;;;;;;;;;;;;
Afghanistan;1852;524;Interpolated.;;;;;;;;;;;;
Afghanistan;1853;525;Interpolated.;;;;;;;;;;;;
Afghanistan;1854;527;Interpolated.;;;;;;;;;;;;
Afghanistan;1855;529;Interpolated.;;;;;;;;;;;;
Afghanistan;1856;531;Interpolated.;;;;;;;;;;;;
Afghanistan;1857;532;Interpolated.;;;;;;;;;;;;
Afghanistan;1858;534;Interpolated.;;;;;;;;;;;;
Afghanistan;1859;536;Interpolated.;;;;;;;;;;;;
Afghanistan;1860;537;Interpolated.;;;;;;;;;;;;
Afghanistan;1861;539;Interpolated.;;;;;;;;;;;;
Afghanistan;1862;541;Interpolated.;;;;;;;;;;;;
Afghanistan;1863;543;Interpolated.;;;;;;;;;;;;
Afghanistan;1864;545;Interpolated.;;;;;;;;;;;;
Afghanistan;1865;546;Interpolated.;;;;;;;;;;;;
Afghanistan;1866;548;Interpolated.;;;;;;;;;;;;
Afghanistan;1867;550;Interpolated.;;;;;;;;;;;;
Afghanistan;1868;552;Interpolated.;;;;;;;;;;;;
Afghanistan;1869;553;Interpolated.;;;;;;;;;;;;
Afghanistan;1870;555;Interpolated.;;;;;;;;;;;;
Afghanistan;1871;557;Interpolated.;;;;;;;;;;;;
Afghanistan;1872;559;Interpolated.;;;;;;;;;;;;
Afghanistan;1873;561;Interpolated.;;;;;;;;;;;;
Afghanistan;1874;562;Interpolated.;;;;;;;;;;;;
Afghanistan;1875;564;Interpolated.;;;;;;;;;;;;
Afghanistan;1876;566;Interpolated.;;;;;;;;;;;;
Afghanistan;1877;568;Interpolated.;;;;;;;;;;;;
Afghanistan;1878;570;Interpolated.;;;;;;;;;;;;
Afghanistan;1879;572;Interpolated.;;;;;;;;;;;;
Afghanistan;1880;574;Interpolated.;;;;;;;;;;;;
Afghanistan;1881;575;Interpolated.;;;;;;;;;;;;
Afghanistan;1882;577;Interpolated.;;;;;;;;;;;;
Afghanistan;1883;579;Interpolated.;;;;;;;;;;;;
Afghanistan;1884;581;Interpolated.;;;;;;;;;;;;
Afghanistan;1885;583;Interpolated.;;;;;;;;;;;;
Afghanistan;1886;585;Interpolated.;;;;;;;;;;;;
Afghanistan;1887;587;Interpolated.;;;;;;;;;;;;
Afghanistan;1888;589;Interpolated.;;;;;;;;;;;;
Afghanistan;1889;591;Interpolated.;;;;;;;;;;;;
Afghanistan;1890;592;Interpolated.;;;;;;;;;;;;
Afghanistan;1891;594;Interpolated.;;;;;;;;;;;;
Afghanistan;1892;596;Interpolated.;;;;;;;;;;;;
Afghanistan;1893;598;Interpolated.;;;;;;;;;;;;
Afghanistan;1894;600;Interpolated.;;;;;;;;;;;;
Afghanistan;1895;602;Interpolated.;;;;;;;;;;;;
Afghanistan;1896;604;Interpolated.;;;;;;;;;;;;
Afghanistan;1897;606;Interpolated.;;;;;;;;;;;;
Afghanistan;1898;608;Interpolated.;;;;;;;;;;;;
Afghanistan;1899;610;Interpolated.;;;;;;;;;;;;
Afghanistan;1900;612;Interpolated.;;;;;;;;;;;;
Afghanistan;1901;614;Interpolated.;;;;;;;;;;;;
Afghanistan;1902;616;Interpolated.;;;;;;;;;;;;
Afghanistan;1903;618;Interpolated.;;;;;;;;;;;;
Afghanistan;1904;620;Interpolated.;;;;;;;;;;;;
Afghanistan;1905;622;Interpolated.;;;;;;;;;;;;
Afghanistan;1906;624;Interpolated.;;;;;;;;;;;;
Afghanistan;1907;626;Interpolated.;;;;;;;;;;;;
Afghanistan;1908;628;Interpolated.;;;;;;;;;;;;
Afghanistan;1909;630;Interpolated.;;;;;;;;;;;;
Afghanistan;1910;632;Interpolated.;;;;;;;;;;;;
Afghanistan;1911;634;Interpolated.;;;;;;;;;;;;
Afghanistan;1912;636;Interpolated.;;;;;;;;;;;;
Afghanistan;1913;638;Level from regional average, multiplied with spread-out factor.;1913;;;"""29 East Asian countries""";Maddison on-line.;;;Gapminder model 2 (based on the GDP per capita of Maddison). ;Spread-out factor: 0,7;Spread-out factor based on: Purely random.;;
Afghanistan;1914;641;Interpolated.;;;;;;;;;;;;
Afghanistan;1915;644;Interpolated.;;;;;;;;;;;;
Afghanistan;1916;647;Interpolated.;;;;;;;;;;;;
Afghanistan;1917;650;Interpolated.;;;;;;;;;;;;
Afghanistan;1918;653;Interpolated.;;;;;;;;;;;;
Afghanistan;1919;656;Interpolated.;;;;;;;;;;;;
Afghanistan;1920;659;Interpolated.;;;;;;;;;;;;
Afghanistan;1921;662;Interpolated.;;;;;;;;;;;;
Afghanistan;1922;665;Interpolated.;;;;;;;;;;;;
Afghanistan;1923;669;Interpolated.;;;;;;;;;;;;
Afghanistan;1924;672;Interpolated.;;;;;;;;;;;;
Afghanistan;1925;675;Interpolated.;;;;;;;;;;;;
Afghanistan;1926;678;Interpolated.;;;;;;;;;;;;
Afghanistan;1927;681;Interpolated.;;;;;;;;;;;;
Afghanistan;1928;684;Interpolated.;;;;;;;;;;;;
Afghanistan;1929;687;Interpolated.;;;;;;;;;;;;
Afghanistan;1930;691;Interpolated.;;;;;;;;;;;;
Afghanistan;1931;694;Interpolated.;;;;;;;;;;;;
Afghanistan;1932;697;Interpolated.;;;;;;;;;;;;
Afghanistan;1933;700;Interpolated.;;;;;;;;;;;;
Afghanistan;1934;703;Interpolated.;;;;;;;;;;;;
Afghanistan;1935;707;Interpolated.;;;;;;;;;;;;
Afghanistan;1936;710;Interpolated.;;;;;;;;;;;;
Afghanistan;1937;713;Interpolated.;;;;;;;;;;;;
Afghanistan;1938;716;Interpolated.;;;;;;;;;;;;
Afghanistan;1939;720;Interpolated.;;;;;;;;;;;;
Afghanistan;1940;723;Interpolated.;;;;;;;;;;;;
Afghanistan;1941;726;Interpolated.;;;;;;;;;;;;
Afghanistan;1942;730;Interpolated.;;;;;;;;;;;;
Afghanistan;1943;733;Interpolated.;;;;;;;;;;;;
Afghanistan;1944;737;Interpolated.;;;;;;;;;;;;
Afghanistan;1945;740;Interpolated.;;;;;;;;;;;;
Afghanistan;1946;743;Interpolated.;;;;;;;;;;;;
Afghanistan;1947;747;Interpolated.;;;;;;;;;;;;
Afghanistan;1948;750;Interpolated.;;;;;;;;;;;;
Afghanistan;1949;754;Interpolated.;;;;;;;;;;;;
Afghanistan;1950;757;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1951;767;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1952;779;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1953;813;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1954;815;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1955;816;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1956;837;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1957;821;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1958;850;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1959;856;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1960;868;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1961;857;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1962;853;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1963;849;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1964;846;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1965;845;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1966;834;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1967;836;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1968;845;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1969;838;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1970;833;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1971;774;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1972;740;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1973;803;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1974;826;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1975;846;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1976;866;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1977;786;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1978;827;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1979;809;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1980;810;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1981;897;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1982;978;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1983;1 013;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1984;995;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1985;962;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1986;1 031;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1987;852;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1988;770;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1989;751;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1990;710;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1991;705;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1992;649;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1993;559;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1994;500;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1995;602;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1996;618;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1997;635;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1998;653;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;1999;671;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;2000;664;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;2001;595;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;2002;727;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;2003;785;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;2004;805;Growth, national;1950-2005;;;;Maddison on-line.;;;;;;;
Afghanistan;2005;874;Level.;2005;;;;ICP estimate - model 6.;;;;;;;
Afghanistan;2006;888;Growth, national;2005-2018.;;2005;;IMF (2013);;;;;;;
Afghanistan;2007;984;Growth, national;2005-2018.;;2005;;IMF (2013);;;;;;;
Afghanistan;2008;985;Growth, national, guesstimate.;2005-2018.;Based on projected growth from IMF (2013).;2005;;IMF (2013);;;;;;;
Afghanistan;2009;1 155;Growth, national, guesstimate.;2005-2018.;Based on projected growth from IMF (2013).;2005;;IMF (2013);;;;;;;
Afghanistan;2010;1 215;Growth, national, guesstimate.;2005-2018.;Based on projected growth from IMF (2013).;2005;;IMF (2013);;;;;;;
Afghanistan;2011;1 261;Growth, national, guesstimate.;2005-2018.;Based on projected growth from IMF (2013).;2005;;IMF (2013);;;;;;;
Afghanistan;2012;1 350;Growth, national, guesstimate.;2005-2018.;Based on projected growth from IMF (2013).;2005;;IMF (2013);;;;;;;
Afghanistan;2013;1 351;Growth, national, guesstimate.;2005-2018.;Based on projected growth from IMF (2013).;2005;;IMF (2013);;;;;;;
Afghanistan;2014;1 374;Growth, national, guesstimate.;2005-2018.;Based on projected growth from IMF (2013).;2005;;IMF (2013);;;;;;;
Afghanistan;2015;1 418;Growth, national, guesstimate.;2005-2018.;Based on projected growth from IMF (2013).;2005;;IMF (2013);;;;;;;
Afghanistan;2016;1 462;Growth, national, guesstimate.;2005-2018.;Based on projected growth from IMF (2013).;2005;;IMF (2013);;;;;;;
Afghanistan;2017;1 501;Growth, national, guesstimate.;2005-2018.;Based on projected growth from IMF (2013).;2005;;IMF (2013);;;;;;;
Afghanistan;2018;1 527;Growth, national, guesstimate.;2005-2018.;Based on projected growth from IMF (2013).;2005;;IMF (2013);;;;;;;
Akrotiri and Dhekelia;2005;;No data;2005;;;;No data;;;;;;;
Akrotiri and Dhekelia;2006;;;;;;;;;;;;;;
Akrotiri and Dhekelia;2007;;;;;;;;;;;;;;
Akrotiri and Dhekelia;2008;;;;;;;;;;;;;;
Akrotiri and Dhekelia;2009;;;;;;;;;;;;;;
Akrotiri and Dhekelia;2010;;;;;;;;;;;;;;
Akrotiri and Dhekelia;2011;;;;;;;;;;;;;;
Akrotiri and Dhekelia;2012;;;;;;;;;;;;;;
Akrotiri and Dhekelia;2013;;;;;;;;;;;;;;
Akrotiri and Dhekelia;2014;;;;;;;;;;;;;;
Akrotiri and Dhekelia;2015;;;;;;;;;;;;;;
Akrotiri and Dhekelia;2016;;;;;;;;;;;;;;
Akrotiri and Dhekelia;2017;;;;;;;;;;;;;;
Akrotiri and Dhekelia;2018;;;;;;;;;;;;;;
Albania;1800;601;Interpolated.;1800;;;;Interpolation with constant growth - between 1820 and an earlier year (not necessarily included in this data set).;;;;;;;
Albania;1801;602;Interpolated.;;;;;;;;;;;;
Albania;1802;602;Interpolated.;;;;;;;;;;;;
Albania;1803;603;Interpolated.;;;;;;;;;;;;
Albania;1804;604;Interpolated.;;;;;;;;;;;;
Albania;1805;604;Interpolated.;;;;;;;;;;;;
Albania;1806;605;Interpolated.;;;;;;;;;;;;
Albania;1807;606;Interpolated.;;;;;;;;;;;;
Albania;1808;606;Interpolated.;;;;;;;;;;;;
Albania;1809;607;Interpolated.;;;;;;;;;;;;
Albania;1810;607;Interpolated.;;;;;;;;;;;;
Albania;1811;608;Interpolated.;;;;;;;;;;;;
Albania;1812;609;Interpolated.;;;;;;;;;;;;
Albania;1813;609;Interpolated.;;;;;;;;;;;;
Albania;1814;610;Interpolated.;;;;;;;;;;;;
Albania;1815;611;Interpolated.;;;;;;;;;;;;
Albania;1816;611;Interpolated.;;;;;;;;;;;;
Albania;1817;612;Interpolated.;;;;;;;;;;;;
Albania;1818;613;Interpolated.;;;;;;;;;;;;
Albania;1819;613;Interpolated.;;;;;;;;;;;;
Albania;1820;614;Level from regional average, multiplied with spread-out factor.;1820;;;"""7 East European countries""";Maddison on-line.;;;Gapminder model 2 (based on the GDP per capita of Maddison). ;Spread-out factor: 0,734944958791069;Spread-out factor based on: Partly based on the country's relative ranking within its country group at a later year for which data are available.;;
Albania;1821;615;Interpolated.;;;;;;;;;;;;
Albania;1822;616;Interpolated.;;;;;;;;;;;;
Albania;1823;618;Interpolated.;;;;;;;;;;;;
Albania;1824;619;Interpolated.;;;;;;;;;;;;
Albania;1825;620;Interpolated.;;;;;;;;;;;;
Albania;1826;622;Interpolated.;;;;;;;;;;;;
Albania;1827;623;Interpolated.;;;;;;;;;;;;
Albania;1828;624;Interpolated.;;;;;;;;;;;;
Albania;1829;626;Interpolated.;;;;;;;;;;;;
Albania;1830;627;Interpolated.;;;;;;;;;;;;
Albania;1831;628;Interpolated.;;;;;;;;;;;;
Albania;1832;630;Interpolated.;;;;;;;;;;;;
Albania;1833;631;Interpolated.;;;;;;;;;;;;
Albania;1834;632;Interpolated.;;;;;;;;;;;;
Albania;1835;634;Interpolated.;;;;;;;;;;;;
Albania;1836;635;Interpolated.;;;;;;;;;;;;
Albania;1837;636;Interpolated.;;;;;;;;;;;;
Albania;1838;638;Interpolated.;;;;;;;;;;;;
Albania;1839;639;Interpolated.;;;;;;;;;;;;
Albania;1840;640;Interpolated.;;;;;;;;;;;;
Albania;1841;642;Interpolated.;;;;;;;;;;;;
Albania;1842;643;Interpolated.;;;;;;;;;;;;
Albania;1843;645;Interpolated.;;;;;;;;;;;;
Albania;1844;646;Interpolated.;;;;;;;;;;;;
Albania;1845;647;Interpolated.;;;;;;;;;;;;
Albania;1846;649;Interpolated.;;;;;;;;;;;;
Albania;1847;650;Interpolated.;;;;;;;;;;;;
Albania;1848;651;Interpolated.;;;;;;;;;;;;
Albania;1849;653;Interpolated.;;;;;;;;;;;;
Albania;1850;654;Interpolated.;;;;;;;;;;;;
Albania;1851;656;Interpolated.;;;;;;;;;;;;
Albania;1852;657;Interpolated.;;;;;;;;;;;;
Albania;1853;658;Interpolated.;;;;;;;;;;;;
Albania;1854;660;Interpolated.;;;;;;;;;;;;
Albania;1855;661;Interpolated.;;;;;;;;;;;;
Albania;1856;663;Interpolated.;;;;;;;;;;;;
Albania;1857;664;Interpolated.;;;;;;;;;;;;
Albania;1858;665;Interpolated.;;;;;;;;;;;;
Albania;1859;667;Interpolated.;;;;;;;;;;;;
Albania;1860;668;Interpolated.;;;;;;;;;;;;
Albania;1861;670;Interpolated.;;;;;;;;;;;;
Albania;1862;671;Interpolated.;;;;;;;;;;;;
Albania;1863;673;Interpolated.;;;;;;;;;;;;
Albania;1864;674;Interpolated.;;;;;;;;;;;;
Albania;1865;675;Interpolated.;;;;;;;;;;;;
Albania;1866;677;Interpolated.;;;;;;;;;;;;
Albania;1867;678;Interpolated.;;;;;;;;;;;;
Albania;1868;680;Interpolated.;;;;;;;;;;;;
Albania;1869;681;Interpolated.;;;;;;;;;;;;
Albania;1870;683;Growth, national;1870-2005;;;;Maddison on-line.;;;;;;;
Albania;1871;693;Interpolated.;;;;;;;;;;;;
Albania;1872;703;Interpolated.;;;;;;;;;;;;
Albania;1873;713;Interpolated.;;;;;;;;;;;;
Albania;1874;724;Interpolated.;;;;;;;;;;;;
Albania;1875;735;Interpolated.;;;;;;;;;;;;
Albania;1876;745;Interpolated.;;;;;;;;;;;;
Albania;1877;756;Interpolated.;;;;;;;;;;;;
Albania;1878;767;Interpolated.;;;;;;;;;;;;
Albania;1879;779;Interpolated.;;;;;;;;;;;;
Albania;1880;790;Interpolated.;;;;;;;;;;;;
Albania;1881;802;Interpolated.;;;;;;;;;;;;
Albania;1882;814;Interpolated.;;;;;;;;;;;;
Albania;1883;826;Interpolated.;;;;;;;;;;;;
Albania;1884;838;Interpolated.;;;;;;;;;;;;
Albania;1885;850;Interpolated.;;;;;;;;;;;;
Albania;1886;863;Interpolated.;;;;;;;;;;;;
Albania;1887;876;Interpolated.;;;;;;;;;;;;
Albania;1888;888;Interpolated.;;;;;;;;;;;;
Albania;1889;902;Interpolated.;;;;;;;;;;;;
Albania;1890;915;Growth, national;1870-2005;;;;Maddison on-line.;;;;;;;
Albania;1891;927;Interpolated.;;;;;;;;;;;;
Albania;1892;940;Interpolated.;;;;;;;;;;;;
Albania;1893;953;Interpolated.;;;;;;;;;;;;
Albania;1894;966;Interpolated.;;;;;;;;;;;;
Albania;1895;979;Interpolated.;;;;;;;;;;;;
Albania;1896;993;Interpolated.;;;;;;;;;;;;
Albania;1897;1 006;Interpolated.;;;;;;;;;;;;
Albania;1898;1 020;Interpolated.;;;;;;;;;;;;
Albania;1899;1 034;Interpolated.;;;;;;;;;;;;
Albania;1900;1 048;Growth, national;1870-2005;;;;Maddison on-line.;;;;;;;
Albania;1901;1 062;Interpolated.;;;;;;;;;;;;
Albania;1902;1 076;Interpolated.;;;;;;;;;;;;
Albania;1903;1 090;Interpolated.;;;;;;;;;;;;
Albania;1904;1 104;Interpolated.;;;;;;;;;;;;
Albania;1905;1 119;Interpolated.;;;;;;;;;;;;
Albania;1906;1 133;Interpolated.;;;;;;;;;;;;
Albania;1907;1 148;Interpolated.;;;;;;;;;;;;
Albania;1908;1 163;Interpolated.;;;;;;;;;;;;
Albania;1909;1 179;Interpolated.;;;;;;;;;;;;
Albania;1910;1 194;Growth, national;1870-2005;;;;Maddison on-line.;;;;;;;
Albania;1911;1 209;Interpolated.;;;;;;;;;;;;
Albania;1912;1 225;Interpolated.;;;;;;;;;;;;
Albania;1913;1 241;Growth, national;1870-2005;;;;Maddison on-line.;;;;;;;
Albania;1914;1 251;Interpolated.;;;;;;;;;;;;
Albania;1915;1 261;Interpolated.;;;;;;;;;;;;
Albania;1916;1 272;Interpolated.;;;;;;;;;;;;
Albania;1917;1 283;Interpolated.;;;;;;;;;;;;
Albania;1918;1 293;Interpolated.;;;;;;;;;;;;
Albania;1919;1 304;Interpolated.;;;;;;;;;;;;
Albania;1920;1 315;Interpolated.;;;;;;;;;;;;
Albania;1921;1 326;Interpolated.;;;;;;;;;;;;
Albania;1922;1 337;Interpolated.;;;;;;;;;;;;
Albania;1923;1 348;Interpolated.;;;;;;;;;;;;
Albania;1924;1 360;Interpolated.;;;;;;;;;;;;
Albania;1925;1 371;Interpolated.;;;;;;;;;;;;
Albania;1926;1 383;Interpolated.;;;;;;;;;;;;
Albania;1927;1 394;Interpolated.;;;;;;;;;;;;
Albania;1928;1 406;Interpolated.;;;;;;;;;;;;
Albania;1929;1 418;Growth, national;1870-2005;;;;Maddison on-line.;;;;;;;
Albania;1930;1 423;Interpolated.;;;;;;;;;;;;
Albania;1931;1 428;Interpolated.;;;;;;;;;;;;
Albania;1932;1 433;Interpolated.;;;;;;;;;;;;
Albania;1933;1 439;Interpolated.;;;;;;;;;;;;
Albania;1934;1 444;Interpolated.;;;;;;;;;;;;
Albania;1935;1 449;Interpolated.;;;;;;;;;;;;
Albania;1936;1 455;Interpolated.;;;;;;;;;;;;
Albania;1937;1 460;Interpolated.;;;;;;;;;;;;
Albania;1938;1 466;Interpolated.;;;;;;;;;;;;
Albania;1939;1 471;Interpolated.;;;;;;;;;;;;
Albania;1940;1 477;Interpolated.;;;;;;;;;;;;
Albania;1941;1 482;Interpolated.;;;;;;;;;;;;
Albania;1942;1 488;Interpolated.;;;;;;;;;;;;
Albania;1943;1 493;Interpolated.;;;;;;;;;;;;
Albania;1944;1 499;Interpolated.;;;;;;;;;;;;
Albania;1945;1 504;Interpolated.;;;;;;;;;;;;
Albania;1946;1 510;Interpolated.;;;;;;;;;;;;
Albania;1947;1 515;Interpolated.;;;;;;;;;;;;
Albania;1948;1 521;Interpolated.;;;;;;;;;;;;
Albania;1949;1 527;Interpolated.;;;;;;;;;;;;
Albania;1950;1 532;Growth, national;1870-2005;;;;Maddison on-line.;;;;;;;
Albania;1951;1 598;Growth, national;1870-2005;;;;Maddison on-line.;;;;;;;
